Date/Time,Calling #,Called #,Duration,Amount,Tax,Total,Destination,Extension
05/18/2023 11:41:51,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/18/2023 10:52:57,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/18/2023 10:15:44,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/18/2023 09:21:36,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/17/2023 17:16:18,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/17/2023 15:53:35,18885551212,18665551212,5 min,$0.0000,$0.0000,$0.0000,Incoming,100
05/17/2023 15:53:29,18885551212,18665551212,5 min,$0.0000,$0.0000,$0.0000,Incoming,
05/17/2023 15:09:56,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/17/2023 14:05:14,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/17/2023 12:52:11,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/17/2023 11:08:37,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/17/2023 11:04:47,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/17/2023 10:57:56,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/17/2023 10:24:47,18885551212,18665551212,6 min,$0.0000,$0.0000,$0.0000,United States Domestic,100
